H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202607,一次オフライン,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260701B01,募集量（TSO別）[MW],16,34,73,65,20,78,69,7,55,417
20260701B01,応札量合計（電源属地別）[MW],7.34,9.747,54.681,39.992,1.93,21.627,5.947,1.93,38.958,182.152
20260701B01,落札量合計（電源属地別）[MW],1.99,9.747,56.481,20.664,1.93,11.802,5.947,0,34.979,143.54
20260701B01,応札件数（電源属地別）[件],4,6,28,21,1,11,3,1,18,93
20260701B01,落札件数（電源属地別）[件],1,6,29,11,1,6,3,0,16,73
20260701B01,最高落札価格（電源属地別）[円/kW・30分],7.8,15,15,13,11.9,11.89,12.59,0,12,15
20260701B01,最低落札価格（電源属地別）[円/kW・30分],7.8,15,2.37,4.25,11.9,1.38,11,0,3.09,1.38
20260701B01,平均落札価格（電源属地別）[円/kW・30分],7.8,15,12.54,8.88,11.9,9.64,11.53,0,5.89,10.2
20260701B01,最高落札価格（TSO別）[円/kW・30分],7.8,15,15,13,0,11.9,0,0,12.59,15
20260701B01,最低落札価格（TSO別）[円/kW・30分],7.8,15,2.37,4.25,0,1.38,0,0,3.09,1.38
20260701B01,平均落札価格（TSO別）[円/kW・30分],7.8,15,12.54,9.77,0,9.25,0,0,6.25,10.2
20260701B01,落札量合計（TSO別）[MW],1.99,9.747,56.481,17.321,0,21.033,0,0,36.968,143.54
20260701B01,（内訳）自エリアからの落札量[MW],1.99,9.747,56.481,17.321,0,11.802,0,0,34.979,132.32
20260701B02,募集量（TSO別）[MW],16,34,73,65,20,78,69,7,55,417
20260701B02,応札量合計（電源属地別）[MW],7.34,19.675,62.141,61.592,1.93,21.627,13.889,1.93,40.947,231.071
20260701B02,落札量合計（電源属地別）[MW],1.99,4.464,38.813,35.896,0,9.842,0,0,29.584,120.589
20260701B02,応札件数（電源属地別）[件],4,11,32,32,1,11,7,1,19,118
20260701B02,落札件数（電源属地別）[件],1,3,20,19,0,5,0,0,13,61
