H,連系線確保量,対象年月,ブロック数,市場種別
P,速報値,202606,48,DCM
T,順方向元エリア,逆方向元エリア,DCM：連系線確保量上限値（順方向）[MW],DCM：連系線確保量上限値（逆方向）[MW],DCM：連系線確保量（順方向）[MW],DCM：連系線確保量（逆方向）[MW]
20260601B01,北海道,東北,0,75,0,0
20260601B01,東北,東京,667.796,2360,40,101
20260601B01,東京,中部,950.497,0,236.832,0
20260601B01,中部関西,北陸,1900,745.966,79,0
20260601B01,中部,北陸関西,1590,0,423.036,0
20260601B01,中部北陸,関西,1590,885.215,344.036,0
20260601B01,関西,中国,2780,0,195.618,0
20260601B01,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,195.618,0
20260601B01,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,195.618,0
20260601B01,関西,四国,0,0,0,0
20260601B01,中国,四国,1200,0,0,0
20260601B01,中国,九州,660,0,155.014,0
20260601B02,北海道,東北,0,75,0,75
20260601B02,東北,東京,399.296,2360,0,136
20260601B02,東京,中部,708.597,0,88.997,0
20260601B02,中部関西,北陸,1900,738.366,79,0
20260601B02,中部,北陸関西,1590,0,436.408,0
20260601B02,中部北陸,関西,1590,892.815,357.408,0
20260601B02,関西,中国,2780,0,208.99,0
20260601B02,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,208.99,0
20260601B02,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,208.99,0
20260601B02,関西,四国,0,0,0,0
20260601B02,中国,四国,1200,0,0,0
20260601B02,中国,九州,650,0,150.824,0
20260601B03,北海道,東北,0,75,0,75
20260601B03,東北,東京,457.896,2360,0,136
20260601B03,東京,中部,335.097,159.532,58.997,0
20260601B03,中部関西,北陸,1900,701.466,79,0
20260601B03,中部,北陸関西,1590,0,435.408,0
20260601B03,中部北陸,関西,1590,929.715,356.408,0
20260601B03,関西,中国,2780,0,209.99,0
20260601B03,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,209.99,0
20260601B03,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,209.99,0
20260601B03,関西,四国,0,0,0,0
20260601B03,中国,四国,1200,0,0,0
20260601B03,中国,九州,650,0,150.595,0
20260601B04,北海道,東北,0,75,0,75
20260601B04,東北,東京,477.896,2360,0,136
20260601B04,東京,中部,311.097,183.532,0,111.509
20260601B04,中部関西,北陸,1900,716.966,78,0
20260601B04,中部,北陸関西,1590,0,428.408,0
20260601B04,中部北陸,関西,1590,914.215,350.408,0
20260601B04,関西,中国,2780,0,207.99,0
20260601B04,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,207.99,0
20260601B04,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,207.99,0
20260601B04,関西,四国,0,0,0,0
20260601B04,中国,四国,1200,0,0,0
20260601B04,中国,九州,650,0,158.185,0
20260601B05,北海道,東北,0,75,0,74.608
20260601B05,東北,東京,540.396,2360,0,130.608
20260601B05,東京,中部,147.197,347.432,0,130.608
20260601B05,中部関西,北陸,1900,707.766,79,0
20260601B05,中部,北陸関西,1590,0,557.309,0
20260601B05,中部北陸,関西,1590,923.415,478.309,0
20260601B05,関西,中国,2780,0,199.99,0
20260601B05,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,199.99,0
20260601B05,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,199.99,0
20260601B05,関西,四国,0,0,0,0
20260601B05,中国,四国,1200,0,0,0
20260601B05,中国,九州,650,0,142.582,0
20260601B06,北海道,東北,0,75,0,75
20260601B06,東北,東京,883.596,2360,0,128
20260601B06,東京,中部,85.497,409.132,0,0
20260601B06,中部関西,北陸,1900,756.066,79,0
20260601B06,中部,北陸関西,1590,0,578.309,0
20260601B06,中部北陸,関西,1590,875.115,499.309,0
20260601B06,関西,中国,2780,0,231.99,0
20260601B06,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,231.99,0
20260601B06,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,190.99,0
20260601B06,関西,四国,0,0,0,0
20260601B06,中国,四国,1200,0,41,0
20260601B06,中国,九州,660,0,133.668,0
20260601B07,北海道,東北,0,75,0,75
20260601B07,東北,東京,986.034,2360,0,130
20260601B07,東京,中部,157.666,428.048,0,0
20260601B07,中部関西,北陸,1900,498.342,78,0
20260601B07,中部,北陸関西,1590,0,532.309,0
20260601B07,中部北陸,関西,1393.365,955.175,454.309,0
20260601B07,関西,中国,2780,0,247.99,0
20260601B07,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,247.99,0
20260601B07,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,209.99,0
20260601B07,関西,四国,0,0,0,0
20260601B07,中国,四国,1200,0,38,0
20260601B07,中国,九州,670,0,130,0
20260601B08,北海道,東北,0,75,0,75
20260601B08,東北,東京,1170.734,2360,0,141
20260601B08,東京,中部,99.966,485.748,0,0
20260601B08,中部関西,北陸,1900,468.642,78,0
20260601B08,中部,北陸関西,1590,0,539.309,0
20260601B08,中部北陸,関西,1363.665,984.875,461.309,0
20260601B08,関西,中国,2780,0,254.99,0
20260601B08,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,254.99,0
20260601B08,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,218.99,0
20260601B08,関西,四国,0,0,0,0
20260601B08,中国,四国,1200,0,36,0
20260601B08,中国,九州,690,0,124,0
20260601B09,北海道,東北,0,75,0,75
20260601B09,東北,東京,1256.534,2360,0,148
20260601B09,東京,中部,92.166,493.548,0,0
20260601B09,中部関西,北陸,1900,463.742,78,0
20260601B09,中部,北陸関西,1590,0,565.309,0
20260601B09,中部北陸,関西,1358.765,989.775,487.309,0
20260601B09,関西,中国,2780,0,280.99,0
20260601B09,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,280.99,0
20260601B09,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,239.99,0
20260601B09,関西,四国,0,0,0,0
20260601B09,中国,四国,1200,0,41,0
20260601B09,中国,九州,700,0,154.255,0
20260601B10,北海道,東北,0,75,0,75
20260601B10,東北,東京,1104.534,2360,0,168
20260601B10,東京,中部,0,719.348,0,0
20260601B10,中部関西,北陸,1900,550.642,78,0
20260601B10,中部,北陸関西,1590,0,533.917,0
20260601B10,中部北陸,関西,1445.665,902.875,455.917,0
20260601B10,関西,中国,2780,0,270.99,0
20260601B10,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,270.99,0
20260601B10,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,270.99,0
20260601B10,関西,四国,0,0,0,0
20260601B10,中国,四国,1200,0,0,0
20260601B10,中国,九州,710,0,148,0
20260601B11,北海道,東北,0,75,0,75
20260601B11,東北,東京,800.834,2360,0,172
20260601B11,東京,中部,0,693.348,0,0
20260601B11,中部関西,北陸,1900,472.542,78,0
20260601B11,中部,北陸関西,1590,0,545,0
20260601B11,中部北陸,関西,1367.565,980.975,467,0
20260601B11,関西,中国,2780,0,270.99,0
20260601B11,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,270.99,0
20260601B11,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,270.99,0
20260601B11,関西,四国,0,0,0,0
20260601B11,中国,四国,1200,0,0,0
20260601B11,中国,九州,710,0,148,0
20260601B12,北海道,東北,0,75,0,75
20260601B12,東北,東京,294.034,2360,0,184
20260601B12,東京,中部,0,790.348,0,0
20260601B12,中部関西,北陸,1900,402.842,78,0
20260601B12,中部,北陸関西,1590,0,418.408,0
20260601B12,中部北陸,関西,1297.865,1050.675,340.408,0
20260601B12,関西,中国,2780,0,270.99,0
20260601B12,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,270.99,0
20260601B12,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,270.99,0
20260601B12,関西,四国,0,0,0,0
20260601B12,中国,四国,1200,0,0,0
20260601B12,中国,九州,580,0,148,0
20260601B13,北海道,東北,0,75,0,75
20260601B13,東北,東京,412.263,2360,0,198
20260601B13,東京,中部,1060.14,0,19.368,0
20260601B13,中部関西,北陸,1900,502.111,127,0
20260601B13,中部,北陸関西,1590,0,1039.983,0
20260601B13,中部北陸,関西,1248.036,864.517,912.983,0
20260601B13,関西,中国,2780,0,585.99,0
20260601B13,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,585.99,0
20260601B13,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,498.99,0
20260601B13,関西,四国,0,0,0,0
20260601B13,中国,四国,1200,0,87,0
20260601B13,中国,九州,450,0,322.318,0
20260601B14,北海道,東北,0,75,0,75
20260601B14,東北,東京,0,2360,0,205
20260601B14,東京,中部,987.84,0,493.683,0
20260601B14,中部関西,北陸,1900,440.411,138.569,0
20260601B14,中部,北陸関西,1590,0,1184.809,0
20260601B14,中部北陸,関西,1186.336,926.217,1046.24,0
20260601B14,関西,中国,2780,0,661.98,0
20260601B14,関西_関西-中国間(東),中国_関西-中国間(東),2780,0,661.98,0
20260601B14,関西_関西-中国間(西),中国_関西-中国間(西),2780,0,563.98,0
20260601B14,関西,四国,0,0,0,0
20260601B14,中国,四国,1200,0,98,0
20260601B14,中国,九州,390,0,387.194,0
20260601B15,北海道,東北,0,75,0,75
20260601B15,東北,東京,0,2360,0,215
20260601B15,東京,中部,1198.64,0,605.575,0
20260601B15,中部関西,北陸,1900,429.611,139.698,0
20260601B15,中部,北陸関西,1590,0,1160.007,0
20260601B15,中部北陸,関西,1175.536,937.017,1020.309,0
20260601B15,関西,中国,2780,0,589.99,0
