H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,一次オフライン,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B01,募集量（TSO別）[MW],17,37,74,63,22,81,72,7,58,431
20260314B01,応札量合計（電源属地別）[MW],3.958,1.35,29.597,11.263,0,3.868,0,1.93,10.75,62.716
20260314B01,落札量合計（電源属地別）[MW],3.958,1.35,29.597,1.999,0,3.868,0,1.93,0,42.702
20260314B01,応札件数（電源属地別）[件],2,1,15,6,0,2,0,1,6,33
20260314B01,落札件数（電源属地別）[件],2,1,15,1,0,2,0,1,0,22
20260314B01,最高落札価格（電源属地別）[円/kW・30分],3,15,15,0.5,0,15,0,3,0,15
20260314B01,最低落札価格（電源属地別）[円/kW・30分],0.95,15,8.7,0.5,0,13.98,0,3,0,0.5
20260314B01,平均落札価格（電源属地別）[円/kW・30分],1.97,15,11.91,0.5,0,14.51,0,3,0,10.38
20260314B01,最高落札価格（TSO別）[円/kW・30分],3,15,15,0.5,0,15,0,3,0,15
20260314B01,最低落札価格（TSO別）[円/kW・30分],0.95,15,8.7,0.5,0,13.98,0,3,0,0.5
20260314B01,平均落札価格（TSO別）[円/kW・30分],1.97,15,11.91,0.5,0,14.51,0,3,0,10.38
20260314B01,落札量合計（TSO別）[MW],3.958,1.35,29.597,1.999,0,3.868,0,1.93,0,42.702
20260314B01,（内訳）自エリアからの落札量[MW],3.958,1.35,29.597,1.999,0,3.868,0,1.93,0,42.702
20260314B02,募集量（TSO別）[MW],17,37,74,63,22,81,72,7,58,431
20260314B02,応札量合計（電源属地別）[MW],3.958,1.35,29.597,11.263,0,3.868,0,1.93,10.75,62.716
20260314B02,落札量合計（電源属地別）[MW],3.958,1.35,29.597,1.999,0,3.868,0,1.93,0,42.702
20260314B02,応札件数（電源属地別）[件],2,1,15,6,0,2,0,1,6,33
20260314B02,落札件数（電源属地別）[件],2,1,15,1,0,2,0,1,0,22
20260314B02,最高落札価格（電源属地別）[円/kW・30分],3,15,15,0.5,0,15,0,3,0,15
20260314B02,最低落札価格（電源属地別）[円/kW・30分],0.95,15,8.7,0.5,0,11.98,0,3,0,0.5
20260314B02,平均落札価格（電源属地別）[円/kW・30分],1.97,15,11.91,0.5,0,13.54,0,3,0,10.3
20260314B02,最高落札価格（TSO別）[円/kW・30分],3,15,15,0.5,0,15,0,3,0,15
20260314B02,最低落札価格（TSO別）[円/kW・30分],0.95,15,8.7,0.5,0,11.98,0,3,0,0.5
20260314B02,平均落札価格（TSO別）[円/kW・30分],1.97,15,11.91,0.5,0,13.54,0,3,0,10.3
20260314B02,落札量合計（TSO別）[MW],3.958,1.35,29.597,1.999,0,3.868,0,1.93,0,42.702
20260314B02,（内訳）自エリアからの落札量[MW],3.958,1.35,29.597,1.999,0,3.868,0,1.93,0,42.702
20260314B03,募集量（TSO別）[MW],17,37,74,63,22,81,72,7,58,431
20260314B03,応札量合計（電源属地別）[MW],3.958,1.35,23.611,5.327,0,1.87,0,0,10.75,46.866
20260314B03,落札量合計（電源属地別）[MW],3.958,1.35,23.611,1.999,0,1.87,0,0,0,32.788
20260314B03,応札件数（電源属地別）[件],2,1,12,3,0,1,0,0,6,25
20260314B03,落札件数（電源属地別）[件],2,1,12,1,0,1,0,0,0,17
20260314B03,最高落札価格（電源属地別）[円/kW・30分],3,15,15,0.5,0,9.98,0,0,0,15
20260314B03,最低落札価格（電源属地別）[円/kW・30分],0.95,15,8.7,0.5,0,9.98,0,0,0,0.5
20260314B03,平均落札価格（電源属地別）[円/kW・30分],1.97,15,11.12,0.5,0,9.98,0,0,0,9.47
20260314B03,最高落札価格（TSO別）[円/kW・30分],3,15,15,0.5,0,9.98,0,0,0,15
20260314B03,最低落札価格（TSO別）[円/kW・30分],0.95,15,8.7,0.5,0,9.98,0,0,0,0.5
20260314B03,平均落札価格（TSO別）[円/kW・30分],1.97,15,11.12,0.5,0,9.98,0,0,0,9.47
20260314B03,落札量合計（TSO別）[MW],3.958,1.35,23.611,1.999,0,1.87,0,0,0,32.788
20260314B03,（内訳）自エリアからの落札量[MW],3.958,1.35,23.611,1.999,0,1.87,0,0,0,32.788
20260314B04,募集量（TSO別）[MW],17,37,74,63,22,81,72,7,58,431
20260314B04,応札量合計（電源属地別）[MW],3.958,1.35,32.942,15.279,0,1.87,0,0,10.75,66.149
20260314B04,落札量合計（電源属地別）[MW],3.958,1.35,32.942,1.999,0,1.87,0,0,0,42.119
20260314B04,応札件数（電源属地別）[件],2,1,17,8,0,1,0,0,6,35
20260314B04,落札件数（電源属地別）[件],2,1,17,1,0,1,0,0,0,22
20260314B04,最高落札価格（電源属地別）[円/kW・30分],3,15,15,0.5,0,6.98,0,0,0,15
20260314B04,最低落札価格（電源属地別）[円/kW・30分],2,15,8.7,0.5,0,6.98,0,0,0,0.5
20260314B04,平均落札価格（電源属地別）[円/kW・30分],2.5,15,12.22,0.5,0,6.98,0,0,0,10.61
20260314B04,最高落札価格（TSO別）[円/kW・30分],3,15,15,0.5,0,6.98,0,0,0,15
20260314B04,最低落札価格（TSO別）[円/kW・30分],2,15,8.7,0.5,0,6.98,0,0,0,0.5
20260314B04,平均落札価格（TSO別）[円/kW・30分],2.5,15,12.22,0.5,0,6.98,0,0,0,10.61
20260314B04,落札量合計（TSO別）[MW],3.958,1.35,32.942,1.999,0,1.87,0,0,0,42.119
20260314B04,（内訳）自エリアからの落札量[MW],3.958,1.35,32.942,1.999,0,1.87,0,0,0,42.119
20260314B05,募集量（TSO別）[MW],17,37,72,63,21,80,72,7,58,427
20260314B05,応札量合計（電源属地別）[MW],3.958,1.35,32.942,15.279,0,1.87,0,1.93,10.75,68.079
