H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202609,三次調整力1,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260901B01,募集量（TSO別）[MW],196,69,705,358,74,75,185,82,310,2054
20260901B01,応札量合計（電源属地別）[MW],327.69,390,2195.116,1578,447.058,0,197.937,173,355.99,5664.791
20260901B01,落札量合計（電源属地別）[MW],193.032,280,1029.549,691.93,53,0,154.87,42,143,2587.381
20260901B01,応札件数（電源属地別）[件],4,4,22,20,3,0,3,6,8,70
20260901B01,落札件数（電源属地別）[件],3,4,14,10,2,0,3,4,5,45
20260901B01,最高落札価格（電源属地別）[円/kW・30分],2.5,7.33,5.79,2.22,1.38,0,6.34,1.7,7.13,7.33
20260901B01,最低落札価格（電源属地別）[円/kW・30分],1.01,3.21,1.17,0.59,0.39,0,5.28,0.38,4.81,0.38
20260901B01,平均落札価格（電源属地別）[円/kW・30分],1.05,6.07,1.72,0.87,0.74,0,5.46,0.91,6.3,2.36
20260901B01,最高落札価格（TSO別）[円/kW・30分],3.21,7.33,5.79,2.22,1.38,1.17,6.34,1.7,7.13,7.33
20260901B01,最低落札価格（TSO別）[円/kW・30分],1.01,3.21,1.17,0.59,0.39,0.65,0.76,0.38,0.59,0.38
20260901B01,平均落札価格（TSO別）[円/kW・30分],1.16,6.17,1.83,0.94,0.78,0.97,3.6,0.94,3.3,2.36
20260901B01,落札量合計（TSO別）[MW],203.032,270,857.349,417,89,75,261,93,322,2587.381
20260901B01,（内訳）自エリアからの落札量[MW],193.032,270,857.349,383.299,53,0,154.87,42,143,2096.55
20260901B02,募集量（TSO別）[MW],198,69,705,358,74,75,185,83,310,2057
20260901B02,応札量合計（電源属地別）[MW],325.7,390,2597.949,1578,448.156,0,197.937,173,385.96,6096.702
20260901B02,落札量合計（電源属地別）[MW],193.042,280,753.413,697.13,206,0,153.87,42,143,2468.455
20260901B02,応札件数（電源属地別）[件],3,4,25,20,3,0,3,6,9,73
20260901B02,落札件数（電源属地別）[件],3,4,13,10,2,0,3,5,5,45
20260901B02,最高落札価格（電源属地別）[円/kW・30分],2.5,8.59,5.94,1.86,2.83,0,6.89,1.7,6.65,8.59
20260901B02,最低落札価格（電源属地別）[円/kW・30分],1.01,4.44,1.28,0.83,0.39,0,6.34,0.38,5.32,0.38
20260901B02,平均落札価格（電源属地別）[円/kW・30分],1.05,7.52,2.01,1.06,0.41,0,6.79,0.94,6.35,2.69
20260901B02,最高落札価格（TSO別）[円/kW・30分],8.52,8.59,5.94,1.86,2.83,1.17,6.89,1.7,6.89,8.59
20260901B02,最低落札価格（TSO別）[円/kW・30分],1.01,4.44,1.28,0.83,0.39,0.39,0.39,0.38,0.39,0.38
20260901B02,平均落札価格（TSO別）[円/kW・30分],1.42,7.48,2.01,1.06,0.44,0.63,4.41,1,3.34,2.69
20260901B02,落札量合計（TSO別）[MW],203.042,270,753.413,417,81,75,254,93,322,2468.455
20260901B02,（内訳）自エリアからの落札量[MW],193.042,270,753.413,417,81,0,153.85,42,143,2053.305
20260901B03,募集量（TSO別）[MW],201,69,705,358,74,75,185,84,310,2061
20260901B03,応札量合計（電源属地別）[MW],368.6,390,3039.014,1571,423.438,0,153.567,173,357.974,6476.593
20260901B03,落札量合計（電源属地別）[MW],202.042,280,907.674,704.065,236.859,0,140.08,42,143,2655.72
20260901B03,応札件数（電源属地別）[件],3,4,29,20,3,0,2,6,10,77
20260901B03,落札件数（電源属地別）[件],2,4,15,13,2,0,2,5,6,49
20260901B03,最高落札価格（電源属地別）[円/kW・30分],1.01,10,7.28,1.87,1.38,0,5.42,1.7,6.23,10
20260901B03,最低落札価格（電源属地別）[円/kW・30分],1,8.62,0.95,0.95,0.39,0,5.28,0.38,3.92,0.38
20260901B03,平均落札価格（電源属地別）[円/kW・30分],1.01,9.66,2.52,1.22,0.52,0,5.36,1.09,5.72,2.93
20260901B03,最高落札価格（TSO別）[円/kW・30分],10,10,7.28,1.87,1.38,1.26,5.42,1.7,6.23,10
20260901B03,最低落札価格（TSO別）[円/kW・30分],1,8.62,0.95,0.95,0.39,0.95,0.39,0.38,0.39,0.38
20260901B03,平均落札価格（TSO別）[円/kW・30分],1.43,9.64,2.52,1.27,0.73,1.21,3.26,0.74,3.05,2.93
20260901B03,落札量合計（TSO別）[MW],212.042,270,907.674,428.004,89,75,259,93,322,2655.72
20260901B03,（内訳）自エリアからの落札量[MW],202.042,270,907.674,428.004,89,0,140.08,42,143,2221.8
