H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202606,三次調整力1,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260601B01,募集量（TSO別）[MW],213,102,51,0,79,326,153,75,276,1275
20260601B01,応札量合計（電源属地別）[MW],289.65,500,530.172,712,0,177.582,175.438,136,371,2891.842
20260601B01,落札量合計（電源属地別）[MW],231.01,140,365.372,243.204,0,177.582,168.382,82,142,1549.55
20260601B01,応札件数（電源属地別）[件],4,2,16,7,0,1,5,6,5,46
20260601B01,落札件数（電源属地別）[件],1,2,14,7,0,1,5,4,5,39
20260601B01,最高落札価格（電源属地別）[円/kW・30分],1.01,5.61,3.36,3.88,0,0.39,1.56,1.07,4.71,5.61
20260601B01,最低落札価格（電源属地別）[円/kW・30分],1.01,5.47,0.57,0.73,0,0.39,0.39,0.38,3.22,0.38
20260601B01,平均落札価格（電源属地別）[円/kW・30分],1.01,5.54,1.57,2.19,0,0.39,1.2,0.42,4.29,1.95
20260601B01,最高落札価格（TSO別）[円/kW・30分],1.01,5.61,3.36,0,3.88,3.88,5.47,1.07,5.61,5.61
20260601B01,最低落札価格（TSO別）[円/kW・30分],1.01,0.57,2.12,0,0.57,0.39,0.39,0.38,0.57,0.38
20260601B01,平均落札価格（TSO別）[円/kW・30分],1.01,3.49,2.44,0,2.18,1.25,1.81,0.42,2.83,1.95
20260601B01,落札量合計（TSO別）[MW],231.01,170,155.54,0,79,326,220,82,286,1549.55
20260601B01,（内訳）自エリアからの落札量[MW],231.01,100,155.54,0,0,177.582,168.382,82,142,1056.514
20260601B02,募集量（TSO別）[MW],216,102,51,0,79,326,153,75,276,1278
20260601B02,応札量合計（電源属地別）[MW],260.65,500,646.364,492,0,177.582,169.226,136,371,2752.822
20260601B02,落札量合計（電源属地別）[MW],157.01,140,337.997,404.411,0,177.582,159.302,82,142,1600.302
20260601B02,応札件数（電源属地別）[件],3,2,16,5,0,1,5,6,5,43
20260601B02,落札件数（電源属地別）[件],1,2,10,5,0,1,5,4,5,33
20260601B02,最高落札価格（電源属地別）[円/kW・30分],1.01,6,2.23,3.78,0,0.39,1.56,1.07,4.57,6
20260601B02,最低落札価格（電源属地別）[円/kW・30分],1.01,5.85,0.57,0.48,0,0.39,0.39,0.38,2.95,0.38
20260601B02,平均落札価格（電源属地別）[円/kW・30分],1.01,5.93,1.19,0.7,0,0.39,1.12,0.42,4.06,1.58
20260601B02,最高落札価格（TSO別）[円/kW・30分],6,6,2.23,0.54,2.79,3.78,1.56,1.07,4.57,6
20260601B02,最低落札価格（TSO別）[円/kW・30分],0.57,0.57,1.86,0.51,0.48,0.39,0.39,0.38,0.48,0.38
20260601B02,平均落札価格（TSO別）[円/kW・30分],1.79,3.72,2.04,0.52,0.83,0.6,0.96,0.42,2.28,1.58
20260601B02,落札量合計（TSO別）[MW],232.01,170,144,57,79,326,224.292,82,286,1600.302
20260601B02,（内訳）自エリアからの落札量[MW],157.01,100,144,57,0,177.582,159.302,82,142,1018.894
20260601B03,募集量（TSO別）[MW],219,102,51,0,79,324,153,75,276,1279
20260601B03,応札量合計（電源属地別）[MW],287.05,500,622.99,514.3,0,177.582,168.997,136,371,2777.919
20260601B03,落札量合計（電源属地別）[MW],160.01,140,307.997,433.411,0,177.582,159.53,82,142,1602.53
20260601B03,応札件数（電源属地別）[件],4,2,15,5,0,1,5,6,5,43
20260601B03,落札件数（電源属地別）[件],1,2,9,5,0,1,5,4,5,32
20260601B03,最高落札価格（電源属地別）[円/kW・30分],1.01,6.36,1.68,3.42,0,0.39,1.56,1.07,4.39,6.36
20260601B03,最低落札価格（電源属地別）[円/kW・30分],1.01,6.2,0.57,0.43,0,0.39,0.39,0.38,2.71,0.38
20260601B03,平均落札価格（電源属地別）[円/kW・30分],1.01,6.28,0.99,0.61,0,0.39,1.21,0.42,3.83,1.53
20260601B03,最高落札価格（TSO別）[円/kW・30分],6.36,6.36,1.68,0.55,3.42,0.57,1.56,1.07,4.39,6.36
20260601B03,最低落札価格（TSO別）[円/kW・30分],0.57,0.57,1.27,0.43,0.43,0.39,0.39,0.38,0.43,0.38
20260601B03,平均落札価格（TSO別）[円/kW・30分],1.84,3.93,1.47,0.48,1.31,0.44,0.99,0.42,2.12,1.53
20260601B03,落札量合計（TSO別）[MW],235.01,170,144,57,79,324,225.52,82,286,1602.53
